prj	local	autoridade	tipo	Ano	cod	Norma	status	viavel	Nota	Tags	Ementa
x	br;sp;sao.paulo	municipal	lei	2011	467	PL 467 				cooperativa; licitacoes	PERMITE A PARTICIPACAO DAS COOPERATIVAS DE MAO DE OBRA EM LICITACOES E CONTRATACOES PROMOVIDAS PELA ADMINISTRACAO DIRETA E INDIRETA DO MUNICIPIO DE SAO PAULO, E DA OUTRAS PROVIDENCIAS
x	br;sp;sao.paulo	municipal	lei	2012	489	PL 489 				reciclagem; catadores	DISPOE SOBRE A ATIVIDADE DESENVOLVIDA PELOS CATADORES DE MATERIAIS RECICLAVEIS, INSERE O INCISO IV AO ART. 8º DA LEI 13.478 DE 30 DE DEZEMBRO DE 2002, QUE DISPOE SOBRE A ORGANIZACAO DO SISTEMA DE LIMPEZA URBANA DO MUNICIPIO DE SAO PAULO, E DA OUTRAS PROVIDENCIAS
x	br;sp;sao.paulo	municipal	lei	2013	244	PL 244 				cooperativa; iss	DISPOE SOBRE A CONCESSAO DE ISENCAO DO IMPOSTO SOBRE SERVICOS DE QUALQUER NATUREZA - ISS, INCIDENTE SOBRE OS SERVICOS EXERCIDOS POR COOPERATIVAS CULTURAIS, E NAS CONDICOES QUE ESPECIFICA
x	br;sp;sao.paulo	municipal	lei	2013	308	PL 308 				conselhos; integração-econômica	INSTITUI NO AMBITO DAS SUBPREFEITURAS DE SAO PAULO OS CONSELHOS DE DESENVOLVIMENTO LOCAL - CDL, E DA OUTRAS PROVIDENCIAS
x	br;sp;sao.paulo	municipal	lei	2013	505	PL 505 				empreendedorismo; cultura-afro; programa	INSTITUI O PROGRAMA MUNICIPAL SAO PAULO AFROEMPREENDEDOR, E DA OUTRAS PROFIDENCIAS
x	br;sp;sao.paulo	municipal	lei	2013	591	PL 591 				cooperativa; reciclagem; coleta	DISPOE SOBRE A INSERCAO DAS COOPERATIVAS E ASSOCIACOES DE CATADORES DA COLETA SELETIVA NO SISTEMA DE LIMPEZA URBANA DO MUNICIPIO DE S PAULO,AUTORIZA A REMUNERACAO DAS COOPERATIVAS E ASSOCIACOES DE CATADORES PELA PRESTACAO DE SERVICO, CRIA O CONSELHO GESTOR DA COLETA SELETIVA,E DA OUTRAS PROVIDENCIAS.
x	br;sp;sao.paulo	municipal	lei	2013	673	PL 673 				cooperativa; licitações	DISPOE SOBRE O IMPEDIMENTO DAS EMPRESAS DE TRANSPORTE DE ONIBUS, MICRO-ONIBUS, FRETADOS, COOPERATIVAS E RELACIONADOS DE PRESTAREM SERVICOS AO MUNICIPIO, PARTICIPAR EM LICITACOES E CONCESSOES PUBLICAS, CASO POSSUAM EM SEUS QUADROS FUNCIONARIOS NAO REGISTRADOS CONFORME PREVE A LEGISLACAO TRABALHISTA BRASILEIRA, E DA OUTRAS PROVIDENCIAS
x	br;sp;sao.paulo	municipal	lei	2014	198	PL 198 				marco-legal	FICA REVOGADO O INCISO I, DO § 2º, DO ARTIGO 1º, DA LEI Nº 15.944, DE 23 DE DEZEMBRO DE 2013, E DA OUTRAS PROVIDENCIAS (REF. A EXIGENCIA DAS SOCIEDADES COOPERATIVAS APRESENTAREM SEU REGISTRO PERANTE A ORGANIZACAO DAS COOPERATIVAS BRASILEIRAS OU NA ENTIDADE ESTADUAL)
x	br;sp;sao.paulo	municipal	lei	2014	206	PL 206 				evento; premio; cultura-afro	INSTITUI O PREMIO NELSON MANDELA DE APOIO AO DESENVOLVIMENTO DE POLITICAS PUBLICAS DE PROMOCAO DE IGUALDADE RACIAL PARA A CIDADE DE SAO PAULO, E DA OUTRAS PROVIDENCIAS
x	br;sp;sao.paulo	municipal	lei	2014	354	PL 354 				cooperativa; politicas	ESTABELECE DIRETRIZES DA POLITICA MUNICIPAL DE APOIO AO COOPERATIVISMO, E DA OUTRAS PROVIDENCIAS
x	br;sp;sao.paulo	municipal	lei	2014	546	PL 546 				meio-ambiente	INSTITUI O PROGRAMA DE INCENTIVO A CIDADANIA AMBIENTAL
x	br;sp;sao.paulo	municipal	lei	2014	551	PL 551 				cooperativa; reciclagem	ESTABELECE NORMAS E CRITERIOS PARA INCUBACAO, INSTALACAO E FOMENTO AS COOPERATIVAS DE RECICLAGEM NO MUNICIPIO DE SAO PAULO
